sentiment	productId	userId	summary	text	helpfulY	helpfulN
1	B000CD87MI	A16X750Y5Z9O9B	Food of the Gods	Attiki honey has an excellent sweet natural flavor, is very thick, and quite possibly is the stickiest substance known to man. I would like to try some baklava made with this honey. After tasting this honey, I suspect some US honey suppliers are artificially sweetening their product. Attiki is sweet without being over-powering. Pricier than your standard supermarket honey, but well worth it. Recommended.	0	0
1	B000FYYOZI	A3P9OEZR3WT0RG	great flavor!	really great snack for hiking or a baseball game....My son and I enjoy taking them when we go on a road trip to hold us over till we find a good restaurant!	0	0
1	B002QWP89S	A3SHETU1D7IAXG	My Dog Likes Them!	Got the teenie greenies for my 16 1/2lb Shih Tzu- Lhasa Apso.  The package says that these are for dogs that range 5-15lbs, but I ordered them anyway (trying to save some money).  She loves them.  Gobbles them up straight away.<br /><br />Only advice-Stick to the poundage recommendation.  These treats are so small that I doubt my dog is getting the benefits of tartar control/removal.  On the bright side, she likes the taste, so they certainly work as regular daily treats.	0	0
1	B004K30HO2	A27AIDC1JNRP4K	Great!	Works great. So much easier to use than the one you buy for the machine. Less mess - just throw it away!	0	0
1	B000VK6NDC	ACRL36N43HGB2	16 cats love it...	I have 16 cats ranging from 1 to 11 yrs old and every single one of them likes this.  I have tried Wellness, Holistic, Avoderm, Chicken Soup for the..., Merck Homestyle, BG (Before Grain), California Natural, and Evangers with mixed results.  This is the first canned food that all of them will not only eat but eat all of it.  I've fed them the Chicken and Liver flavor and the Seafood flavor so far and they seem to like both equally.  I find it a bit more expensive than I had hoped it would be, but then again there is no waste and I consider that in itself a savings alone.  I'm a firm believer in better ingredients and less fillers and allergens make for less poop, less litter use, fewer trips to the vet and an overall healthier cat.<br /><br />UPDATE:  I have tried all the flavors on my cats and the chicken and liver seems to be the one they like the most.  They have now officially rejected all the other flavors including the seafood flavor that they originally liked.  I also wanted to add that this is a very STRONG smelling brand of cat food, almost overpowering when I open the cans at feeding time.	3	0
1	B000F4H5FY	A2YB7DLC3FOR7W	Good Value on Great Tea Sampler	This variety pack of Twinings tea has four flavors.  The Lady Grey is my favorite, hands down. It makes delicious iced tea.  It has a crisp, clean taste.  The other three flavors are good also.<br /><br />I use only two bags to make a pitcher of iced tea and it's strong enough with just the two bags.  This tea can be found locally, but costs much more than the Amazon price.  This is my second purchase of this item.	0	0
1	B006N3IG4K	AIVJ4ZDNGL1O1	Wolfgang Puck Breakfast in Bed coffee	Wake up to a cup of Wolfgang Puck Coffe Breakfast in Bed (medium Roast) K-cup for Keurig. is a great way to start your day, or just sit down and relax. Try it and you will be buying more.<br /><br />Shop Amazon for Wolfgang Puck Coffee, Breakfast in Bed	0	0
1	B001JYVT60	A136VAVDIU9DOU	great	These are great, but my dog likes to augment them with other types of bones	1	1
1	B0013NUGDE	A3AR4MDJNH4AOL	Healthy Indulging	These cute little circles crunch and taste so, so, so good!  I always remind myself that I'm eating a low-fat, baked good-for-my-health snack or part of a meal because the truth is they're sinfully good.  I like them best when I just nibble at the edges and draw the experience out for as long as I can.  But they're good just chomped down, too.	0	0
-1	B000EF3E72	A260E9D6SE6GH8	"Overly ""fishy"" odor and taste"	I buy a lot of canned salmon, smoked and not. This time, I wanted a wild-caught version to avoid carcinogenic chemicals.  As soon as I opened the can, a powerful fishy smell took over the kitchen, more powerful than sardines.  The taste is overly fishy also.  Maybe it was a bad can.  If the rest are better, I'll write another review.	3	1
1	B0016FY6H6	A2W7ZBU9A8HKR9	lightly sweetened green iced tea powder	i have never liked green tea but i knew it was good for me so i have been drinking it for a lot of yrs. i grew up living in the western usa and our neighbors were japanese. they were sweet and gave us tea from japan. my father enjoyed it every morning and added a tablespoon of honey and a little cream to it. he smoked all his life and died at 92. anyway, i found when at times i would quit drinking it i wouldn't feel as good as i did when drinking it. i got tired of boiling the water with the teabags and then getting everything in a container to put into the frig. i really drank a lot of it.  well, i stumbled onto a warehouse to pick up some things i had ordered and noticed this tea. i was immediately interested as you get to drink the whole tea leaf which gives you 10 times more antioxidants. wow, that was good for me so i got a couple cases and when i ran out searched the internet for stash brand. i really love it. i love that it is LIGHTLY SWEETENED, i love that i can just open a packet and throw it into my tumbler, add ice and water and be on my way. it's just right. but more then anything else i love the way it makes me feel. so much more energy and i truly believe it is helping my well being. no getting around about it i don't get sick often for sure. now i haven't tried the other brands and i feel i don't have to because i am so satisfied with this one. the price is also cheaper. i don't think you can go wrong with this choice.  perky	0	1
-1	B0042GUIV4	A3KLYCB8MHZ6M4	why buy something when you are getting ripped off?	See's makes delicious chocolates; close to the best; but their chipping charges make each purchase a total rip off. I think that every one should boycott See's for that reason.	1	5
1	B002OFZIV0	A28RLBQGYYTUOB	great	The bite size chewables are wonderful - 2 or 3 every few hours lets yu diet and never feel hungry.	0	0
1	B000DZFMEQ	A1JSL6MV2XX0HW	best gf bread	This bread is super-easy to make in a bread machine, and it tastes great. The flour mix produces a flavorful bread which has a good texture. Far better than other bread mixes I've tried.	0	0
1	B0001W2W62	A1AJQUA9PEA90X	Favorite sprouting mix	We bought this mix a while ago from the Sprout House, along with four other mixes from a different vendor. Now that we're finally running out, it's time to write a review.  This mix is wonderful (and the only one of the five we'll be buying again).  It's delicious, it sprouts really well, and it holds up well afterward (we always have multiple batches of different mixes at the same time, and these sprouts can last the longest).  And I had no idea that radish sprouts taste just as good as radishes.  I look forward to trying other mixes from the Sprout House.	0	0
1	B002QWP89S	A32BYHWKU8GU7L	Very Effective	My veterinarian recommended these.  My dog is a German Shepherd, Pit Bull, Jack Russel mix.  His top part is huge but his legs- not so much.  Basically he needs his weight managed all the time because we don't want knee problems to develop.  At his last trip Dr. Kragness said he had a bit of a tartar problem (organic food related) and to try a greenie a day.  Well he's been chewing them for about 12 days and his teeth look great and as an added benefit his breath is clean, still hot but clean smelling.  In addition I've noticed that he doesn't have a lot of doggy gas like usual.  I thought the price was a bit steep but tried them on the word of the vet and for the obvious results we're getting I guess you get what you pay for here.	0	0
1	B0011XKHY4	A2BE41ED9ZF1DA	So. Good.	So good. I can't get enough of them... I always ask for more on a plane ride. They taste amazing.	0	0
1	B0002HDLZM	A3KJ80O8SLGJUL	very tasty	Very fresh and tasty!  Will buy again soon.<br />Since I ordered it in Dec, shipping is a little later then estimate, better order it earlier.	0	0
1	B001D3NXTI	A3363Y1AGRZ1KC	Excellent Gum!!!	I chew lots of gum, especially when I'm on a diet.<br />I recommend this gum over SPRY.  If you ask which is better,<br />I would say this gum wins hands down.  I can even blow bubbles with gum<br />while with Spry you can't.<br /><br />Hope this helps if you have to weigh the purchase between the two items.	4	0
1	B001LG945O	A1QO88MU0PYJON	Our family is a huge fan of IZZE and this was right in line with that. The flavor was not too sweet and refreshing. My favorite	Our family is a huge fan of IZZE and this was right in line with that. The flavor was not too sweet and refreshing. My favorite way to enjoy this was with some ice and vodka...obviously that's only for those of you reading this that are 21 yrs or older!	0	0
1	B0032BXUJM	A3KKM0T1KY42HA	How Could You Be So Bold	"After FINALLY purchasing <a href=""http://www.amazon.com/gp/product/B000AQPMHA"">the best coffee maker</a> I've ever had in 40 years of drinking coffee, the hunt was on to find the best tasting coffee to go with it. When it comes to coffee, I suppose that it's really a ""to each his or her own"" thing. But I've tried 'em all, and out of all the various varieties that are offered here at Amazon, the K-cup that provides the most pleasurable mix of everything that I was looking for in a cup of coffee is undisputedly Emeril's Big Easy Bold.<br /><br />Nothing beats Emeril's Big Easy Bold. There are plenty of other brands trying to suggest that they're bold. I've tried the ""Midnight Magic"" brand; I've tried the ""Jet Fuel"" brand; I've tried the ""Donut Shop"" brand; I've tried all of the ""Extra Bolds""; but the K-cup that really tastes like the jet fuel packed cup of coffee that you get in the best donut shop is Emeril's Big Easy Bold.<br /><br />What's really cool is that whether you make a small cup or large cup of Emeril's Big Easy Bold, you won't lose the rich flavor. Most Keurig Coffee Makers have at least two buttons that let you choose to make a large or small cup. Some even have three buttons for a large, medium or small. I like a large cup. Some of the other brands noticeably lost some of their flavor as I went from a medium cup to a large...but not the Emeril's.<br /><br />There is no question here. If you like a darker roast that's full of flavor and packs a punch, you've found the right page here at Amazon. Wake up people, and add this to your cart. Bam!"	69	3
1	B001P3NU30	A2X6UVTLO8OI88	Great Product	I purchased these chews for my dog, a very fussy black lab. She loves them and I will be giving them to her from now on. Great for cleaning her teeth and apparently a yummy flavor.	0	0
1	B007M83302	A1YX2S8RF6JMGN	The best snack ever!	I loved the packaging and I love sweet potatoes, so I had to try these. The best healthy snack and gluten free. I wish they were sold everywhere!	0	0
1	B0013NUGDE	AKWMKTC8FC1A5	CHIPS TO DIE FOR	THESE CHIPS AR FANTASTIC.  I GOT THE VARIETY PACK, AND EVERY FLAVOR WAS GREAT.  GREAT HEALTHY CHIPS, IF YOU CAN IMAGINE THOSE TWO WORDS TOGETHER. HEALTHY - CHIPS!!!  IF YOU ARE GOING TO EAT CHIPS, THESE ARE THE BEST CHOICE.  THE TASTE, I CAN NOT SAY ENOUGH TO EXPRESS JUST HOW GOOD THESE ARE.  POPCHIPS WILL ALWAYS BE MY CHIPS OF CHOICE!!!	1	0
-1	B000GQTP1S	A3O1NRSXVJJ3SP	not good	I like spicy food, most of the snacks labeled as spicy don't cut it, this snack has a good spice level, spicy but still edible<br />I tend to not like kettle cooked chips, the lays and capecod namebrand I don't like, the only ones I do like are the kettle cooked name brand spicy thai<br /><br />That said, these chips are gross<br />They are thick and stale, the 2 things I hate about kettle cooked chips, the texture is way off<br />The spice level is perfect, but the taste? bleackh<br />The taste is what I imagine chewing on moldy cardboard is like<br />These chips are nasty gross<br /><br />I wish I could get my money back, they were expensive<br />not worth it	1	5
-1	B001H024PQ	A2OLS9H2XHRLPI	Could have been worse.	Not the best tasting lollipop the flavor was basically just sugar. They did come packaged very well though and none of them were broken, but I wouldn't purchase if you actually plan on eating and enjoying them.	0	0
1	B000EA3PEY	A4XA48HFD04F	Delicious	Absolutely delicious.  Exactly as advertised.  Comes in sturdy, resealable bags.  Last a long time in your pantry.	1	0
1	B0045Z6K50	AJIYG47R4J7NN	#1!	This is by far my favorite K-cup.I like my coffee strong, and this does the trick! It has a very smooth flavor with no bitter after taste. 5 Stars!	0	0
1	B002QWP89S	ASCE5545RQ01I	Greenies for a picky eater	"I had to pay a fortune to have our dog's teeth cleaned. Plus it was a difficult thing for her...she got very upset and was in pain for a few days. So I started using Greenies, and wow...they have her scheduled for a teeth cleaning that I will cancel, because it has kept her teeth so clean. Best of all, though, she is a very picky eater. Most things that are supposedly flavored to please dogs do not please her. She just won't eat them, but Greenies for teeth...she can't wait to have them. I just ask her if she wants to brush her teeth, and she is ready and waiting. The other night I got out her pills to give her for arthritis and made the mistake of getting out the greenie at the same time. She didn't want the pills although they were covered in peanut butter, which she usually loves. Once she finished the greenie, she wanted the ""peanut butter pills."""	0	0
